vx1ActNum,hteAcctNum,hteCustNum,hteLOCID
3000000,107213-1001,107213,1001
3000001,107243-35187,107243,35187
3000002,107253-24774,107253,24774
3000003,107273-1021,107273,1021
3000004,107283-929,107283,929
3000005,107313-997,107313,997
3000006,107383-995,107383,995
3000007,107393-1025,107393,1025
3000008,107423-1026,107423,1026
3000009,107443-1028,107443,1028
3000010,107563-1014,107563,1014
3000011,107643-951,107643,951
3000012,107743-13952,107743,13952
3000013,107933-961,107933,961
3000014,108023-2729,108023,2729
3000015,108153-970,108153,970
3000016,108233-901,108233,901
3000017,108303-976,108303,976
3000018,108383-896,108383,896
3000019,108593-986,108593,986
3000020,108723-930,108723,930
3000021,108833-911,108833,911
3000022,108953-915,108953,915
3000023,109063-920,109063,920
3000024,109093-28826,109093,28826
3000025,109113-21051,109113,21051
3000026,109133-2087,109133,2087
3000027,109253-2075,109253,2075
3000028,109283-2375,109283,2375
3000029,109653-21170,109653,21170
3000030,109713-1878,109713,1878
3000031,109803-1884,109803,1884
3000032,110003-1895,110003,1895
3000033,110063-32180,110063,32180
3000034,110153-9799,110153,9799
3000035,110273-19981,110273,19981
3000036,110403-21691,110403,21691
3000037,110633-10108,110633,10108
3000038,110783-33501,110783,33501
3000039,111093-9972,111093,9972
3000040,111223-9975,111223,9975
3000041,111333-10044,111333,10044
3000042,111433-10061,111433,10061
3000043,111733-28998,111733,28998
3000044,111863-2414,111863,2414
3000045,112303-2517,112303,2517
3000046,112483-1678,112483,1678
3000047,112673-2388,112673,2388
3000048,112813-2435,112813,2435
3000049,113213-2159,113213,2159
3000050,113373-2464,113373,2464
3000051,113643-1691,113643,1691
3000052,113743-2352,113743,2352
3000053,113843-2343,113843,2343
3000054,114013-1682,114013,1682
3000055,114143-1679,114143,1679
3000056,114223-1677,114223,1677
3000057,114323-23529,114323,23529
3000058,114623-19427,114623,19427
3000059,114703-5475,114703,5475
3000060,114993-9965,114993,9965
3000061,115213-32177,115213,32177
3000062,115433-10128,115433,10128
3000063,115663-10053,115663,10053
3000064,115733-28993,115733,28993
3000065,115783-10093,115783,10093
3000066,115913-1941,115913,1941
3000067,115943-1943,115943,1943
3000068,115993-1948,115993,1948
3000069,116173-1955,116173,1955
3000070,116243-1977,116243,1977
3000071,116283-1974,116283,1974
3000072,116363-1988,116363,1988
3000073,116543-1967,116543,1967
3000074,116623-2011,116623,2011
3000075,116883-2029,116883,2029
3000076,116943-2025,116943,2025
3000077,117003-2146,117003,2146
3000078,117013-1999,117013,1999
3000079,117043-1996,117043,1996
3000080,117093-4129,117093,4129
3000081,117153-2041,117153,2041
3000082,117233-2126,117233,2126
3000083,117313-2132,117313,2132
3000084,117433-2059,117433,2059
3000085,117473-2055,117473,2055
3000086,117673-2073,117673,2073
3000087,117873-2071,117873,2071
3000088,118063-2119,118063,2119
3000089,118303-16331,118303,16331
3000090,118363-30544,118363,30544
3000091,118453-2136,118453,2136
3000092,118593-2123,118593,2123
3000093,118633-2583,118633,2583
3000094,118763-2591,118763,2591
3000095,119173-2553,119173,2553
3000096,119353-2545,119353,2545
3000097,119563-2524,119563,2524
3000098,119613-2532,119613,2532
3000099,119733-2540,119733,2540
3000100,119853-2510,119853,2510
3000101,120203-2490,120203,2490
3000102,120293-2137,120293,2137
3000103,120483-2148,120483,2148
3000104,120513-2151,120513,2151
3000105,120643-2161,120643,2161
3000106,120703-2193,120703,2193
3000107,120773-2181,120773,2181
3000108,120883-2189,120883,2189
3000109,120933-2164,120933,2164
3000110,121013-2170,121013,2170
3000111,121093-10038,121093,10038
3000112,121503-10032,121503,10032
3000113,121513-6659,121513,6659
3000114,121603-10144,121603,10144
3000115,121783-10439,121783,10439
3000116,121853-25115,121853,25115
3000117,122143-25132,122143,25132
3000118,122213-25128,122213,25128
3000119,122283-25124,122283,25124
3000120,122383-25135,122383,25135
3000121,122443-20351,122443,20351
3000122,122683-25081,122683,25081
3000123,122843-25144,122843,25144
3000124,123023-25190,123023,25190
3000125,123053-25187,123053,25187
3000126,123203-25177,123203,25177
3000127,123313-25169,123313,25169
3000128,123573-25292,123573,25292
3000129,123663-25286,123663,25286
3000130,123803-25265,123803,25265
3000131,123963-25276,123963,25276
3000132,124143-18874,124143,18874
3000133,124223-25221,124223,25221
3000134,124283-4616,124283,4616
3000135,124453-25204,124453,25204
3000136,124693-6777,124693,6777
3000137,124813-25235,124813,25235
3000138,124903-29744,124903,29744
3000139,124953-25231,124953,25231
3000140,125093-25226,125093,25226
3000141,125243-25195,125243,25195
3000142,125383-25077,125383,25077
3000143,125603-20935,125603,20935
3000144,125693-20927,125693,20927
3000145,125733-20924,125733,20924
3000146,125773-16656,125773,16656
3000147,125853-22549,125853,22549
3000148,126153-21134,126153,21134
3000149,126293-20565,126293,20565
3000150,126493-25655,126493,25655
3000151,126593-25306,126593,25306
3000152,126643-25311,126643,25311
3000153,126833-25324,126833,25324
3000154,126973-25622,126973,25622
3000155,126993-25624,126993,25624
3000156,127073-24559,127073,24559
3000157,127193-25637,127193,25637
3000158,127293-25644,127293,25644
3000159,127453-25616,127453,25616
3000160,127733-25598,127733,25598
3000161,127943-25586,127943,25586
3000162,128003-18092,128003,18092
3000163,128063-25578,128063,25578
3000164,128183-25569,128183,25569
3000165,128263-22013,128263,22013
3000166,128343-14664,128343,14664
3000167,128403-26299,128403,26299
3000168,128413-41843,128413,41843
3000169,128713-26243,128713,26243
3000170,128843-24662,128843,24662
3000171,128893-25520,128893,25520
3000172,128923-25517,128923,25517
3000173,128983-25513,128983,25513
3000174,129083-10303,129083,10303
3000175,129113-25505,129113,25505
3000176,129133-15880,129133,15880
3000177,129133-23544,129133,23544
3000178,129133-25083,129133,25083
3000179,129133-26677,129133,26677
3000180,129253-36458,129253,36458
3000181,129493-25484,129493,25484
3000182,129533-25483,129533,25483
3000183,129583-23668,129583,23668
3000184,129623-25477,129623,25477
3000185,129703-25453,129703,25453
3000186,129713-21304,129713,21304
3000187,129763-25458,129763,25458
3000188,129853-12936,129853,12936
3000189,130103-25434,130103,25434
3000190,130233-25442,130233,25442
3000191,130353-16293,130353,16293
3000192,130503-25418,130503,25418
3000193,130603-18074,130603,18074
3000194,130703-25402,130703,25402
3000195,130863-25396,130863,25396
3000196,131063-25358,131063,25358
3000197,131253-25365,131253,25365
3000198,131313-25368,131313,25368
3000199,131703-19601,131703,19601
3000200,131753-22034,131753,22034
3000201,132103-25347,132103,25347
3000202,132473-10271,132473,10271
3000203,132723-11689,132723,11689
3000204,133113-10354,133113,10354
3000205,133283-10371,133283,10371
3000206,133383-33447,133383,33447
3000207,133653-10381,133653,10381
3000208,133743-2094,133743,2094
3000209,133933-23908,133933,23908
3000210,134113-541,134113,541
3000211,134233-10345,134233,10345
3000212,134293-5791,134293,5791
3000213,134723-9291,134723,9291
3000214,134923-24275,134923,24275
3000215,135153-30257,135153,30257
3000216,135153-30279,135153,30279
3000217,135153-33519,135153,33519
3000218,135463-10569,135463,10569
3000219,135523-10574,135523,10574
3000220,135683-10480,135683,10480
3000221,135903-14406,135903,14406
3000222,135913-10472,135913,10472
3000223,136023-10404,136023,10404
3000224,136063-39092,136063,39092
3000225,136253-10424,136253,10424
3000226,136463-35050,136463,35050
3000227,136743-2676,136743,2676
3000228,136943-10451,136943,10451
3000229,137043-10457,137043,10457
3000230,137163-10464,137163,10464
3000231,137253-10500,137253,10500
3000232,137353-6171,137353,6171
3000233,137483-10486,137483,10486
3000234,137593-34481,137593,34481
3000235,137633-10520,137633,10520
3000236,137873-10507,137873,10507
3000237,138033-7359,138033,7359
3000238,138273-13903,138273,13903
3000239,138463-10556,138463,10556
3000240,138693-41898,138693,41898
3000241,138833-5026,138833,5026
3000242,139053-22590,139053,22590
3000243,139233-5080,139233,5080
3000244,139343-5073,139343,5073
3000245,139433-5099,139433,5099
3000246,139553-18506,139553,18506
3000247,139613-5111,139613,5111
3000248,139743-5121,139743,5121
3000249,139823-5127,139823,5127
3000250,139893-6083,139893,6083
3000251,139913-5059,139913,5059
3000252,140043-4435,140043,4435
3000253,140163-5049,140163,5049
3000254,140213-5045,140213,5045
3000255,140373-44494,140373,44494
3000256,140463-5173,140463,5173
3000257,140603-5199,140603,5199
3000258,140673-5026,140673,5026
3000259,140713-5189,140713,5189
3000260,140823-5179,140823,5179
3000261,140893-5135,140893,5135
3000262,140943-5137,140943,5137
3000263,141013-5143,141013,5143
3000264,141043-5145,141043,5145
3000265,141153-5152,141153,5152
3000266,141203-5156,141203,5156
3000267,141223-23691,141223,23691
3000268,141393-10595,141393,10595
3000269,141513-10601,141513,10601
3000270,141583-10603,141583,10603
3000271,141723-10609,141723,10609
3000272,141823-9877,141823,9877
3000273,142103-6165,142103,6165
3000274,142303-25687,142303,25687
3000275,142403-870,142403,870
3000276,142583-618,142583,618
3000277,142813-25659,142813,25659
3000278,142893-25693,142893,25693
3000279,142953-25697,142953,25697
3000280,143103-25708,143103,25708
3000281,143163-26501,143163,26501
3000282,143263-25718,143263,25718
3000283,143363-35259,143363,35259
3000284,143513-26507,143513,26507
3000285,143593-25758,143593,25758
3000286,342563-38577,342563,38577
3000287,342643-24195,342643,24195
3000288,342773-24187,342773,24187
3000289,342983-24233,342983,24233
3000290,343023-24432,343023,24432
